Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
48.93845558166504	0	-404.05215	163.82834	41.332718	-921.8438	109.6	30.027092789177292	40004	40004
95.97831964492798	1	-115.969955	44.893772	-0.11783981	-285.14667	105.49473684210527	32.47367312121281	40088	80092
145.06936168670654	2	-217.05597	97.26627	49.923203	-584.55493	103.27319587628865	50.38212335445878	40070	120162
200.01312494277954	3	-123.82772	72.178444	81.53813	-484.60773	97.80195599022005	50.83606516879993	40001	160163
247.0302562713623	4	-93.23393	38.157894	28.1232	-254.59958	87.01739130434783	17.76145441003986	40028	200191
295.51231360435486	5	-86.92262	36.012707	68.344055	-271.841	87.4235807860262	62.589531075719115	40040	240231
345.2475962638855	6	-72.58811	30.95973	64.166405	-197.69153	90.50226244343891	64.02821242102247	40002	280233
397.49072003364563	7	-53.0945	27.082153	33.694855	-117.10056	91.26423690205011	15.770373056181048	40065	320298
450.5841088294983	8	-35.64262	29.753977	58.230103	-108.75598	98.91111111111111	16.812458637334956	40059	360357
516.3869380950928	9	-7.1145205	34.336884	79.58381	-106.8351	138.92013888888889	138.69672604876934	40009	400366
649.612327337265	10	-4.992372	52.51921	96.14766	-247.55081	403.5742574257426	396.27154272663034	40761	441127
781.8636302947998	11	-47.568928	77.58988	60.9177	-245.06274	788.7254901960785	334.6215936231213	40225	481352
913.202595949173	12	-76.16709	84.75838	53.130146	-324.4441	889.6888888888889	226.01020844419315	40036	521388
1039.6426258087158	13	-81.28772	78.755165	27.630447	-367.53497	932.2558139534884	154.11730552260113	40087	561475
1169.4717886447906	14	-42.87928	42.920044	25.945602	-181.29211	995.1463414634146	30.697231920658904	40801	602276
1302.9303498268127	15	-38.72809	36.947144	40.836548	-120.406265	1000.0	0.0	41000	643276
1470.0704503059387	16	-23.415138	24.386751	28.258171	-73.40761	1000.0	0.0	41000	684276
1619.730215549469	17	-14.6014595	28.036125	43.677944	-76.51912	1000.0	0.0	41000	725276
1761.1581749916077	18	-5.932527	28.700891	50.649628	-66.95357	1000.0	0.0	41000	766276
1902.7160573005676	19	-19.11163	31.795216	42.16472	-94.4269	1000.0	0.0	41000	807276
2053.4300932884216	20	-2.4439392	28.424814	70.51155	-92.2314	1000.0	0.0	41000	848276
2202.2083015441895	21	2.00446	34.74787	54.55526	-98.627495	982.2926829268292	111.99090640401187	40274	888550
2351.992642879486	22	1.4798301	34.63997	64.81058	-92.5134	1000.0	0.0	41000	929550
2502.132262945175	23	9.04394	33.41989	58.12391	-107.38721	1000.0	0.0	41000	970550
2648.058320760727	24	35.21453	30.548777	84.386444	-80.1577	1000.0	0.0	41000	1011550
2788.8091781139374	25	42.511528	28.607323	99.29074	-21.708359	983.3170731707318	105.51209363683763	40316	1051866
2945.477996826172	26	66.2332	36.661438	117.260086	-58.27205	1000.0	0.0	41000	1092866
3085.1385378837585	27	81.057655	31.045658	138.04715	-3.1722946	981.0243902439024	120.01229363956092	40222	1133088
3214.8679552078247	28	92.28292	40.325676	153.19156	-12.010139	821.0408163265306	332.7474349666495	40231	1173319
3346.6373612880707	29	112.87047	45.360867	165.90582	13.542587	791.5098039215686	356.5431180122852	40367	1213686
3455.227068424225	30	94.75684	53.148956	174.94504	0.47548294	638.75	409.96074507201297	40880	1254566
3555.931270122528	31	95.06402	55.328503	181.59143	-1.9020596	616.9538461538461	413.99823228047836	40102	1294668
3665.1311995983124	32	98.5565	58.313835	187.40988	8.314629	627.5625	409.4659202470335	40164	1334832
3763.812216758728	33	95.17964	54.93306	190.4783	-10.242516	591.7941176470588	408.464828884919	40242	1375074
3869.9168095588684	34	96.723785	61.041996	188.21043	1.1545639	611.2388059701492	407.0106195964006	40953	1416027
3984.2976393699646	35	113.74054	55.009537	181.34903	-3.0051994	743.925925925926	378.068083808344	40172	1456199
4100.7927939891815	36	121.61229	51.245426	191.5635	15.815445	781.5576923076923	360.2375505488618	40641	1496840
4203.426442861557	37	106.13127	56.656857	194.42937	23.48864	661.8360655737705	392.90332437615206	40372	1537212
4319.473019361496	38	117.336876	50.504562	174.29832	-3.6982384	808.64	340.81946892746606	40432	1577644
4432.13051533699	39	118.244354	50.77343	177.65845	12.146996	800.7254901960785	340.99957325206884	40837	1618481
4527.466654539108	40	131.09465	42.672703	178.18742	2.0583916	896.2222222222222	264.91389702978245	40330	1658811
4622.270878076553	41	127.98851	42.61707	186.59918	15.793289	866.468085106383	295.2635210346513	40724	1699535
4737.3761830329895	42	131.33759	39.621117	177.6205	-7.3177643	927.6363636363636	229.26087670332433	40816	1740351
4857.46880531311	43	132.31844	39.011257	188.0966	24.955887	910.2	254.09172447060226	40959	1781310
4974.805314064026	44	135.53836	40.188858	193.87918	-8.181068	927.5454545454545	229.28965945695046	40812	1822122
5086.653700828552	45	131.44206	51.220417	257.99454	-14.283302	858.5106382978723	295.99560608731474	40350	1862472
5203.66526389122	46	121.67458	46.611877	173.71709	-4.2439003	863.5106382978723	301.64470239434223	40585	1903057
5323.513477802277	47	108.88272	69.69343	275.73328	-34.828014	740.8363636363637	373.2399551658844	40746	1943803
5423.286291360855	48	140.20523	48.70852	240.0951	-30.44152	871.3913043478261	285.1982131675282	40084	1983887
