Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
6.030832290649414	0	17.05	6.7117434	43.0	9.0	17.05	6.711743439673479	1023	1023
6.92146110534668	1	31.5	18.830904	87.0	10.0	31.5	18.83090388633723	1071	2094
7.647567987442017	2	42.083332	19.023924	101.0	17.0	42.083333333333336	19.02392499517968	1010	3104
8.380724430084229	3	51.6	21.20236	111.0	25.0	51.6	21.202358359390118	1032	4136
9.130963563919067	4	63.0	18.950594	113.0	26.0	63.0	18.950593658247225	1008	5144
9.934457063674927	5	75.14286	36.88371	186.0	37.0	75.14285714285714	36.88371135427272	1052	6196
10.809251070022583	6	98.75	34.508755	197.0	61.0	98.75	34.50875492779574	1185	7381
11.543825149536133	7	102.7	50.73273	200.0	35.0	102.7	50.732731052053566	1027	8408
12.28577184677124	8	101.3	42.377	187.0	41.0	101.3	42.376998477947915	1013	9421
13.038327693939209	9	101.6	40.83675	166.0	31.0	101.6	40.836748156531755	1016	10437
28.962567567825317	10	143.28572	29.14846	200.0	113.0	143.28571428571428	29.148458845387083	1003	11440
29.775287866592407	11	151.14285	41.03806	200.0	88.0	151.14285714285714	41.0380609797733	1058	12498
30.509799003601074	12	187.16667	19.531315	200.0	149.0	187.16666666666666	19.531313888784396	1123	13621
31.258788108825684	13	194.83333	6.7433095	200.0	182.0	194.83333333333334	6.743309441381303	1169	14790
32.02011013031006	14	170.42857	36.34697	200.0	112.0	170.42857142857142	36.34696742255572	1193	15983
32.86366391181946	15	166.85715	32.655907	200.0	104.0	166.85714285714286	32.65590548836927	1168	17151
33.6290922164917	16	131.5	49.67897	200.0	71.0	131.5	49.678969393496885	1052	18203
34.40397763252258	17	105.1	47.884132	197.0	39.0	105.1	47.884130983030275	1051	19254
35.14535927772522	18	91.545456	30.455225	148.0	46.0	91.54545454545455	30.455223873040644	1007	20261
35.879563331604004	19	86.5	38.018635	172.0	35.0	86.5	38.01863578124111	1038	21299
