Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
55.58070230484009	0	-404.05215	163.82834	41.332718	-921.8438	109.6	30.027092789177292	40004	40004
106.08202767372131	1	-114.777214	50.16616	33.78392	-325.9793	111.83240223463687	59.76205014259491	40036	80040
158.24184799194336	2	-161.71692	88.05878	78.74254	-582.28815	104.07532467532468	51.84263941253592	40069	120109
206.90508031845093	3	-98.775986	48.97495	54.77127	-338.59662	91.8440366972477	22.552151308892988	40044	160153
259.59956192970276	4	-76.4531	37.853592	55.60046	-248.5228	99.77860696517413	92.2644007287781	40111	200264
316.0244164466858	5	-53.25115	33.588116	104.015015	-253.34714	106.19628647214854	104.99040596311595	40036	240300
377.18538641929626	6	-28.893696	31.553492	72.14728	-174.0177	118.54437869822485	119.77256349198836	40068	280368
460.68443632125854	7	-1.8750013	41.399475	81.36159	-213.87415	209.36082474226805	258.61282152087875	40616	320984
579.577730178833	8	-42.392822	92.925934	59.00882	-345.96097	524.038961038961	374.2327715649797	40351	361335
708.7962603569031	9	-68.646965	80.08679	61.860424	-261.61984	821.0612244897959	298.60583589600805	40232	401567
841.6698031425476	10	-46.630363	60.642864	53.134678	-222.36993	981.439024390244	66.09566192933885	40239	441806
